epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,866.825,1.09858,0.88355,1.07805,0.91294,0.76204,0.84352,0.628,1.22258,0.89735,1.19036,0.00024774,0.00024774,0.00024774
43,890.594,1.09491,0.88872,1.08133,0.90405,0.76758,0.83949,0.626,1.20503,0.8943,1.16301,0.000243611,0.000243611,0.000243611
44,910.819,1.08023,0.85852,1.06918,0.91458,0.77096,0.85171,0.6357,1.19457,0.8592,1.16312,0.000239483,0.000239483,0.000239483
45,931.458,1.08228,0.87388,1.0726,0.8977,0.76656,0.84272,0.62665,1.19809,0.8746,1.16014,0.000235355,0.000235355,0.000235355
46,952.131,1.08908,0.89713,1.08436,0.82879,0.80083,0.85042,0.64218,1.18988,0.86976,1.15486,0.000231226,0.000231226,0.000231226
47,971.906,1.08408,0.87413,1.08049,0.89265,0.78266,0.84727,0.63541,1.17913,0.88823,1.15982,0.000227098,0.000227098,0.000227098
48,992.61,1.0803,0.86157,1.07153,0.90791,0.77227,0.84386,0.62747,1.22514,0.90018,1.17222,0.00022297,0.00022297,0.00022297
49,1014.28,1.09491,0.86766,1.06756,0.89576,0.77213,0.8397,0.6293,1.21937,0.92152,1.17825,0.000218842,0.000218842,0.000218842
50,1032.48,1.04797,0.83305,1.05921,0.89572,0.76531,0.83416,0.62274,1.20272,0.91814,1.17241,0.000214713,0.000214713,0.000214713
51,1053.65,1.0272,0.80706,1.05508,0.85628,0.78568,0.83941,0.64002,1.2102,0.91282,1.15938,0.000210585,0.000210585,0.000210585
52,1074.1,1.06203,0.82654,1.05391,0.89411,0.77464,0.84314,0.63527,1.20692,0.8889,1.16004,0.000206457,0.000206457,0.000206457
53,1095.84,1.062,0.85243,1.06434,0.87379,0.77793,0.83483,0.62617,1.22155,0.90398,1.16082,0.000202328,0.000202328,0.000202328
54,1115.96,1.06252,0.84308,1.06278,0.87141,0.77433,0.8321,0.61923,1.23648,0.88622,1.18585,0.0001982,0.0001982,0.0001982
55,1136.46,1.02739,0.79515,1.045,0.89769,0.77714,0.83944,0.63959,1.20497,0.8996,1.17353,0.000194072,0.000194072,0.000194072
56,1154.18,1.02335,0.81492,1.04733,0.89214,0.77576,0.83894,0.63872,1.18665,0.86552,1.16272,0.000189943,0.000189943,0.000189943
57,1179.59,1.01454,0.78257,1.04512,0.88174,0.79151,0.84369,0.63454,1.20595,0.85815,1.16396,0.000185815,0.000185815,0.000185815
58,1202.83,1.01086,0.78187,1.04496,0.90525,0.74994,0.84095,0.62787,1.22046,0.85236,1.17715,0.000181687,0.000181687,0.000181687
59,1225.02,0.99258,0.76275,1.03166,0.87615,0.79503,0.85345,0.63454,1.21922,0.84167,1.19472,0.000177559,0.000177559,0.000177559
60,1246.62,1.01938,0.77973,1.04531,0.87423,0.78354,0.84264,0.63783,1.19833,0.87537,1.17544,0.00017343,0.00017343,0.00017343
61,1265.18,1.00282,0.77235,1.04483,0.87951,0.80277,0.84745,0.63004,1.20655,0.86026,1.17218,0.000169302,0.000169302,0.000169302
62,1283.7,0.97323,0.74951,1.03097,0.87837,0.7694,0.84827,0.62961,1.23767,0.87439,1.20282,0.000165174,0.000165174,0.000165174
63,1302.46,1.00439,0.76974,1.0338,0.89447,0.77373,0.84588,0.62837,1.20822,0.88036,1.17639,0.000161045,0.000161045,0.000161045
64,1321.62,0.98971,0.74792,1.03567,0.8801,0.78457,0.83591,0.62948,1.21579,0.88993,1.17604,0.000156917,0.000156917,0.000156917
65,1339.95,0.96433,0.73948,1.01362,0.87871,0.77782,0.8489,0.6401,1.21419,0.86075,1.17129,0.000152789,0.000152789,0.000152789
66,1360.96,0.9805,0.74524,1.01697,0.89789,0.76899,0.85098,0.63594,1.21722,0.85211,1.18187,0.00014866,0.00014866,0.00014866
